ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-1786N|refseq:NP_012009|uniprotkb:P38842	DIP-5636N|refseq:NP_012248|uniprotkb:P40548	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55513E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4888N|refseq:NP_009664|uniprotkb:P38264	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55535E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8110N|refseq:NP_011800|uniprotkb:P53337	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55542E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4393N|refseq:NP_011860|uniprotkb:P38703	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55543E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5238N|refseq:NP_012011|uniprotkb:P38843	DIP-5636N|refseq:NP_012248|uniprotkb:P40548	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55544E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2769N|refseq:NP_012418|uniprotkb:P46956	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55545E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5238N|refseq:NP_012011|uniprotkb:P38843	DIP-8755N|refseq:NP_012339|uniprotkb:P39540	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55546E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1390N|refseq:NP_012651|uniprotkb:P47154	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55547E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2769N|refseq:NP_012418|uniprotkb:P46956	DIP-6774N|refseq:NP_116612|uniprotkb:P43561	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55608E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8128N|refseq:NP_009717|uniprotkb:P38286	DIP-8755N|refseq:NP_012339|uniprotkb:P39540	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55615E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4176N|refseq:NP_009963|uniprotkb:P25358	DIP-8755N|refseq:NP_012339|uniprotkb:P39540	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55616E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8755N|refseq:NP_012339|uniprotkb:P39540	DIP-1786N|refseq:NP_012009|uniprotkb:P38842	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55620E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8755N|refseq:NP_012339|uniprotkb:P39540	DIP-5636N|refseq:NP_012248|uniprotkb:P40548	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55621E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8755N|refseq:NP_012339|uniprotkb:P39540	DIP-2548N|refseq:NP_012216|uniprotkb:P40527	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55622E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8755N|refseq:NP_012339|uniprotkb:P39540	DIP-1390N|refseq:NP_012651|uniprotkb:P47154	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55623E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6665N|refseq:NP_012313|uniprotkb:P40890	DIP-7996N|refseq:NP_012858|uniprotkb:P35723	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55641E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4348N|refseq:NP_012917|uniprotkb:P28496	DIP-8128N|refseq:NP_009717|uniprotkb:P38286	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55694E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4348N|refseq:NP_012917|uniprotkb:P28496	DIP-5636N|refseq:NP_012248|uniprotkb:P40548	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55695E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8080N|refseq:NP_012859|uniprotkb:P35724	DIP-1938N|refseq:NP_010132|uniprotkb:Q12142	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55699E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4888N|refseq:NP_009664|uniprotkb:P38264	DIP-4105N|refseq:NP_012776|uniprotkb:P36062	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55700E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8128N|refseq:NP_009717|uniprotkb:P38286	DIP-4105N|refseq:NP_012776|uniprotkb:P36062	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55701E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1852N|refseq:NP_011464|uniprotkb:P53176	DIP-4105N|refseq:NP_012776|uniprotkb:P36062	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55702E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1146N|refseq:NP_012743|uniprotkb:P06783	DIP-4159N|refseq:NP_014598|uniprotkb:Q08215	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55711E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6610N|refseq:NP_012710|uniprotkb:P32368	DIP-7996N|refseq:NP_012858|uniprotkb:P35723	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55719E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8010N|refseq:NP_012965|uniprotkb:P19145	DIP-1852N|refseq:NP_011464|uniprotkb:P53176	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55729E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	DIP-7406N|refseq:NP_010785|uniprotkb:P30605	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55772E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	DIP-6774N|refseq:NP_116612|uniprotkb:P43561	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55775E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1852N|refseq:NP_011464|uniprotkb:P53176	DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55776E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4216N|refseq:NP_011690|uniprotkb:P37267	DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55778E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	DIP-4054N|refseq:NP_011891|uniprotkb:P23968	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55779E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1786N|refseq:NP_012009|uniprotkb:P38842	DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55780E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1888N|refseq:NP_012058|uniprotkb:P38875	DIP-1706N|refseq:NP_013072|uniprotkb:Q07824	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55781E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4700N|refseq:NP_013184|uniprotkb:P32802	DIP-4694N|refseq:NP_013902|uniprotkb:Q03218	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55851E	dip-quality-status:	dip:0005(high throughput)		-
DIP-7868N|refseq:NP_014659|uniprotkb:Q12450	DIP-4700N|refseq:NP_013184|uniprotkb:P32802	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55852E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4700N|refseq:NP_013184|uniprotkb:P32802	DIP-2021N|refseq:NP_014679|uniprotkb:P32854	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55853E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4700N|refseq:NP_013184|uniprotkb:P32802	DIP-8870N|refseq:NP_015059|uniprotkb:Q08980	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55854E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8080N|refseq:NP_012859|uniprotkb:P35724	DIP-6364N|refseq:NP_013239|uniprotkb:Q99271	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55855E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2843N|refseq:NP_013308|uniprotkb:Q05787	DIP-6637N|refseq:NP_010883|uniprotkb:P39986	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55856E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5417N|refseq:NP_012802|uniprotkb:P32332	DIP-2843N|refseq:NP_013308|uniprotkb:Q05787	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55857E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4349N|refseq:NP_014304|uniprotkb:P53932	DIP-2843N|refseq:NP_013308|uniprotkb:Q05787	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55858E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2769N|refseq:NP_012418|uniprotkb:P46956	DIP-5072N|refseq:NP_013583|uniprotkb:P25297	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55932E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5072N|refseq:NP_013583|uniprotkb:P25297	DIP-1390N|refseq:NP_012651|uniprotkb:P47154	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55933E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5072N|refseq:NP_013583|uniprotkb:P25297	DIP-7996N|refseq:NP_012858|uniprotkb:P35723	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55934E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4024N|refseq:NP_013476|uniprotkb:P40319	DIP-5072N|refseq:NP_013583|uniprotkb:P25297	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55935E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5072N|refseq:NP_013583|uniprotkb:P25297	DIP-4541N|refseq:NP_013664|uniprotkb:Q04697	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55936E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5072N|refseq:NP_013583|uniprotkb:P25297	DIP-4655N|refseq:NP_014439|uniprotkb:P32378	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55937E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8128N|refseq:NP_009717|uniprotkb:P38286	DIP-5314N|refseq:NP_013774|uniprotkb:P38993	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55954E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5314N|refseq:NP_013774|uniprotkb:P38993	DIP-5636N|refseq:NP_012248|uniprotkb:P40548	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55963E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4393N|refseq:NP_011860|uniprotkb:P38703	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55989E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4054N|refseq:NP_011891|uniprotkb:P23968	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55990E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	DIP-4171N|refseq:NP_011917|uniprotkb:P38778	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55991E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	DIP-2775N|refseq:NP_012001|uniprotkb:P38837	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55992E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4753N|refseq:NP_012768|uniprotkb:P36057	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55995E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	DIP-4024N|refseq:NP_013476|uniprotkb:P40319	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55996E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4541N|refseq:NP_013664|uniprotkb:Q04697	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55997E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4642N|refseq:NP_014006|uniprotkb:Q03263	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55998E	dip-quality-status:	dip:0005(high throughput)		-
DIP-7266N|refseq:NP_014453|uniprotkb:P53389	DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55999E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2460N|refseq:NP_013869|uniprotkb:Q02795	DIP-7868N|refseq:NP_014659|uniprotkb:Q12450	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-56000E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1786N|refseq:NP_012009|uniprotkb:P38842	DIP-5598N|refseq:NP_009973|uniprotkb:P25625	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55502E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5238N|refseq:NP_012011|uniprotkb:P38843	DIP-7371N|refseq:NP_009668|uniprotkb:P16661	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55536E	dip-quality-status:	dip:0005(high throughput)		-
DIP-8257N|refseq:NP_009878|uniprotkb:P25580	DIP-5238N|refseq:NP_012011|uniprotkb:P38843	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55538E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5238N|refseq:NP_012011|uniprotkb:P38843	DIP-4753N|refseq:NP_012768|uniprotkb:P36057	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55548E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4024N|refseq:NP_013476|uniprotkb:P40319	DIP-8755N|refseq:NP_012339|uniprotkb:P39540	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55626E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2059N|refseq:NP_014354|uniprotkb:P53633	DIP-8755N|refseq:NP_012339|uniprotkb:P39540	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55627E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4393N|refseq:NP_011860|uniprotkb:P38703	DIP-2770N|refseq:NP_012544|uniprotkb:P46965	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55658E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4105N|refseq:NP_012776|uniprotkb:P36062	DIP-7713N|refseq:NP_012473|uniprotkb:P40367	 -	-	-	-	MI:0112(ubiquitin reconstruction)	-	pubmed:16093310|pubmed:DIP-4169S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-55703E	dip-quality-status:	dip:0005(high throughput)		-
